cidade,bairro,hour,mean_count,index,proportion
Fortaleza,CARARU,18,1.0,1.0,1.0
Fortaleza,CARLITO PAMPLONA,0,2.0,0.8,0.04
Fortaleza,CARLITO PAMPLONA,1,4.0,1.6,0.08
Fortaleza,CARLITO PAMPLONA,2,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,4,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,5,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,7,2.0,0.8,0.04
Fortaleza,CARLITO PAMPLONA,8,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,10,2.0,0.8,0.04
Fortaleza,CARLITO PAMPLONA,11,2.0,0.8,0.04
Fortaleza,CARLITO PAMPLONA,13,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,14,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,15,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,16,7.0,2.8,0.14
Fortaleza,CARLITO PAMPLONA,17,2.0,0.8,0.04
Fortaleza,CARLITO PAMPLONA,18,2.0,0.8,0.04
Fortaleza,CARLITO PAMPLONA,19,9.0,3.6,0.18
Fortaleza,CARLITO PAMPLONA,20,6.0,2.4,0.12
Fortaleza,CARLITO PAMPLONA,21,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,22,1.0,0.4,0.02
Fortaleza,CARLITO PAMPLONA,23,3.0,1.2,0.06
Fortaleza,CENTRO,0,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,1,1.0,0.5135135135135135,0.02702702702702703
Fortaleza,CENTRO,3,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,4,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,5,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,6,1.0,0.5135135135135135,0.02702702702702703
Fortaleza,CENTRO,8,1.0,0.5135135135135135,0.02702702702702703
Fortaleza,CENTRO,9,1.0,0.5135135135135135,0.02702702702702703
Fortaleza,CENTRO,11,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,12,1.0,0.5135135135135135,0.02702702702702703
Fortaleza,CENTRO,13,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,14,1.0,0.5135135135135135,0.02702702702702703
Fortaleza,CENTRO,15,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,16,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,17,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,19,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,21,2.0,1.027027027027027,0.05405405405405406
Fortaleza,CENTRO,22,4.0,2.054054054054054,0.10810810810810811
Fortaleza,CENTRO,23,5.0,2.5675675675675675,0.13513513513513514
Fortaleza,CIDADE 2000,10,1.0,0.8,0.2
Fortaleza,CIDADE 2000,16,1.0,0.8,0.2
Fortaleza,CIDADE 2000,19,2.0,1.6,0.4
Fortaleza,CIDADE 2000,23,1.0,0.8,0.2
Fortaleza,CIDADE DOS FUNCIONÁRIOS,0,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,1,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,2,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,4,2.0,1.28,0.08
Fortaleza,CIDADE DOS FUNCIONÁRIOS,5,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,8,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,9,2.0,1.28,0.08
Fortaleza,CIDADE DOS FUNCIONÁRIOS,10,2.0,1.28,0.08
Fortaleza,CIDADE DOS FUNCIONÁRIOS,11,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,14,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,15,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,16,3.0,1.92,0.12
Fortaleza,CIDADE DOS FUNCIONÁRIOS,18,1.0,0.64,0.04
Fortaleza,CIDADE DOS FUNCIONÁRIOS,19,2.0,1.28,0.08
Fortaleza,CIDADE DOS FUNCIONÁRIOS,21,3.0,1.92,0.12
Fortaleza,CIDADE DOS FUNCIONÁRIOS,22,2.0,1.28,0.08
Fortaleza,COAÇU,3,1.0,0.6153846153846154,0.07692307692307693
Fortaleza,COAÇU,10,1.0,0.6153846153846154,0.07692307692307693
Fortaleza,COAÇU,15,1.0,0.6153846153846154,0.07692307692307693
Fortaleza,COAÇU,16,2.0,1.2307692307692308,0.15384615384615385
Fortaleza,COAÇU,17,1.0,0.6153846153846154,0.07692307692307693
Fortaleza,COAÇU,19,4.0,2.4615384615384617,0.3076923076923077
Fortaleza,COAÇU,21,2.0,1.2307692307692308,0.15384615384615385
Fortaleza,COAÇU,23,1.0,0.6153846153846154,0.07692307692307693
Fortaleza,COCÓ,6,1.0,0.8,0.2
Fortaleza,COCÓ,7,1.0,0.8,0.2
Fortaleza,COCÓ,11,1.0,0.8,0.2
Fortaleza,COCÓ,13,2.0,1.6,0.4
Fortaleza,CONJUNTO CEARÁ I,0,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,2,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,3,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,4,2.0,1.6363636363636362,0.18181818181818182
Fortaleza,CONJUNTO CEARÁ I,5,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,16,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,CONJUNTO CEARÁ I,17,1.0,0.8181818181818181,0.09090909090909091
