cidade,bairro,hour,count
Aracati,Castelo,18,1
Aracati,Centro,0,1
Aracati,Centro,1,1
Aracati,Centro,2,1
Aracati,Centro,15,1
Aracati,Centro,16,1
Aracati,Centro,17,2
Aracati,Centro,18,2
Aracati,Centro,19,1
Aracati,Centro,20,3
Aracati,Centro,21,1
Aracati,Centro,22,1
Aracati,Centro,23,2
Aracati,Cohab,23,1
Aracati,Conj. Prourb II,15,1
Aracati,Conjunto Tabajara,12,1
Aracati,Corrego dos Rodrigues,15,1
Aracati,Córrego Da Priscila,20,1
Aracati,Córrego da Nica,2,1
Aracati,Córrego dos Rodrigues,4,1
Aracati,Córrego dos Rodrigues,15,1
Aracati,Farias Brito,12,1
Aracati,Farias Brito,15,1
Aracati,Farias Brito,18,2
Aracati,Farias Brito,22,1
Aracati,Majorlândia,1,1
Aracati,Majorlândia,12,2
Aracati,Majorlândia,14,2
Aracati,Majorlândia,23,1
Aracati,Maloca,1,1
Aracati,Maloca,17,1
Aracati,Maloca,18,2
Aracati,Maloca,21,2
Aracati,Maloca,23,2
Aracati,Marezinha,22,1
Aracati,Marjolânda,10,1
Aracati,Marjolândia,14,1
Aracati,Morro Da Formiga,15,1
Aracati,Nossa Senhora De Lourdes,4,1
Aracati,Nossa Senhora de Lourdes,1,1
Aracati,Nossa Senhora de Lourdes,12,1
Aracati,Nossa Senhora de Lourdes,13,1
Aracati,Nossa Senhora de Lourdes,14,2
Aracati,Nossa Senhora de Lourdes,15,1
Aracati,Nossa Senhora de Lourdes,21,2
Aracati,Nossa Senhora de Lourdes,22,1
Aracati,Nossa Senhora de Lourdes,23,1
Aracati,Nossa Srª de Fátima,14,1
Aracati,PROURB 2,22,1
Aracati,Paulinos 2,23,1
Aracati,Pedra Redonda,17,1
Aracati,"Pedra Redonda, Zona Rural",23,1
Aracati,Pedragal,19,1
Aracati,Pedregal,0,1
Aracati,Pedregal,1,1
Aracati,Pedregal,5,1
Aracati,Pedregal,12,1
Aracati,Pedregal,13,1
Aracati,Pedregal,14,1
Aracati,Pedregal,15,2
Aracati,Pedregal,17,1
Aracati,Pedregal,19,1
Aracati,Pedregal,22,2
Aracati,Praia Canoa Quebrada,12,1
Aracati,Praia de Canoa Quebrada,12,1
Aracati,Praia de Lagoa do Mato,13,1
Aracati,Praia de Quixaba,12,2
Aracati,Praia de Quixaba,14,1
Aracati,Praia de Quixaba,20,1
Aracati,Priscila,0,1
Aracati,Proub 2,23,1
Aracati,Prourb II,15,2
Aracati,Prourbe 2,15,1
Aracati,Prourbe 2,17,1
Aracati,Prourbe 2,20,1
Aracati,Quixaba,0,1
Aracati,Senhora da Lourdes,23,1
Aracati,São Chico,23,1
Aracati,São Cristóvão,15,1
Aracati,São Cristóvão,16,1
Aracati,Sítio Cajueiro,1,1
Aracati,Tabajara,12,1
Aracati,Tabajara,13,1
Aracati,Tabajara,14,1
Aracati,Tabajara,17,2
Aracati,Tabajara,18,1
Aracati,Tabajara,22,1
Aracati,Tabuleiro do Cabreiro,20,1
Aracati,Tanque Salgado 2,17,1
Aracati,Varzea Da Matriz,2,1
Aracati,Varzea Da Matriz,16,1
Aracati,Varzea Da Matriz,22,1
Aracati,Varzea Da Matriz,23,1
Aracati,Varzea da Matriz,1,2
Aracati,Varzea da Matriz,9,1
Aracati,Varzea da Matriz,12,1
Aracati,Varzea da Matriz,15,1
Aracati,Varzea da Matriz,22,1
Aracati,Vazea Da Matriz,23,1
Aracati,Velame,0,1
Aracati,Vila Bombom,19,1
Aracati,Vila Rafael,19,1
Aracati,Vila São Chico,13,1
Aracati,Vila São Cristóvão,2,1
Aracati,Vila São Cristóvão,15,1
Aracati,Vila São Jose,14,1
Aracati,Vila São José,0,1
Aracati,Vila São José,12,1
Aracati,Vila São Rafael,0,1
Aracati,Vila São Rafael,12,3
Aracati,Vila São Rafael,14,1
Aracati,Vila São Rafael,16,1
Aracati,Vila São Rafael,17,2
Aracati,Vila São Rafael,18,1
Aracati,Vila São Rafael,19,1
Aracati,Vila São Rafael,20,1
Aracati,Vila São Refael,18,1
Aracati,Vila Velha,3,1
Aracati,Várzaea da Matriz,21,1
Aracati,Várzea Da Matriz,1,1
Aracati,Várzea Da Matriz,3,1
Aracati,Várzea Da Matriz,11,1
Aracati,Várzea Da Matriz,15,1
Aracati,Várzea Da Matriz,17,1
Aracati,Várzea Da Matriz,21,1
Aracati,Várzea da Matriz,0,1
Aracati,Várzea da Matriz,1,3
Aracati,Várzea da Matriz,10,1
Aracati,Várzea da Matriz,12,1
Aracati,Várzea da Matriz,14,4
Aracati,Várzea da Matriz,15,1
Aracati,Várzea da Matriz,16,1
Aracati,Várzea da Matriz,17,2
Aracati,Várzea da Matriz,19,2
Aracati,Várzea da Matriz,20,3
Aracati,Várzea da Matriz,21,1
Aracati,Várzea da Matriz,22,1
Aracati,Várzea da Matriz,23,4
Aracati,Zona Rural,0,1
Aracati,Zona Rural,1,3
Aracati,Zona Rural,4,4
Aracati,Zona Rural,5,1
Aracati,Zona Rural,6,1
Aracati,Zona Rural,11,2
Aracati,Zona Rural,12,4
Aracati,Zona Rural,14,7
Aracati,Zona Rural,15,1
Aracati,Zona Rural,16,3
Aracati,Zona Rural,17,3
Aracati,Zona Rural,18,3
Aracati,Zona Rural,19,3
Aracati,Zona Rural,20,3
Aracati,Zona Rural,22,4
Aracati,Zona Rural,23,4
Aracati,Zona Urbana,0,1
Aracati,Zona Urbana,19,1
Aracati,Zona rural,15,1
Aracati,canoa Quebrada,14,1
Aracoiaba,---,0,1
Aracoiaba,Aracoiaba,17,1
Aracoiaba,Arisco,21,1
Aracoiaba,Arisco,22,1
Aracoiaba,Arraial Santa Isabel,0,1
Aracoiaba,Bulandeira,3,1
Aracoiaba,Bulandeira 02,0,1
Aracoiaba,Centro,0,2
Aracoiaba,Centro,1,3
Aracoiaba,Centro,3,1
Aracoiaba,Centro,5,1
Aracoiaba,Centro,12,1
Aracoiaba,Centro,22,1
Aracoiaba,Centro,23,1
Aracoiaba,Forno,21,1
Aracoiaba,Genipapeiro,2,1
Aracoiaba,Genipapero,3,1
Aracoiaba,Gitirana,3,1
Aracoiaba,Ideal,17,1
Aracoiaba,Jaguarão,22,1
Aracoiaba,Jaguarão,23,1
Aracoiaba,Jitirana,12,1
Aracoiaba,Localidade Oiticica,21,1
Aracoiaba,Morro dos Macacos,6,1
Aracoiaba,Oiticica,1,1
Aracoiaba,Triângulo,5,1
Aracoiaba,Triângulo,11,1
Aracoiaba,Triângulo de Aracoiaba,22,1
Aracoiaba,Varzantes,2,1
Aracoiaba,Vazantes,1,1
Aracoiaba,Zona Rural,0,3
Aracoiaba,Zona Rural,1,1
Aracoiaba,Zona Rural,2,2
Aracoiaba,Zona Rural,3,1
Aracoiaba,Zona Rural,4,2
Aracoiaba,Zona Rural,6,1
Aracoiaba,Zona Rural,9,1
Aracoiaba,Zona Rural,16,1
Aracoiaba,Zona Rural,22,2
Ararenda,Varjota,22,1
Ararendá,", Zona Rural",19,1
Ararendá,Barriguda,17,1
Ararendá,Beira Rio,21,1
Ararendá,Bomfim,15,1
Ararendá,Centro,1,1
Ararendá,Centro,3,1
Ararendá,Centro,4,1
Ararendá,Centro,23,1
Ararendá,Lagoa de Santo Antônio,20,1
Ararendá,Tamarindo,23,1
Ararendá,Varjota,15,1
Ararendá,Zona Rural,0,1
Ararendá,Zona Rural,3,1
Ararendá,Zona Rural,6,1
Ararendá,Zona Rural,14,2
Ararendá,Zona Rural,17,1
Araripe,Centro,14,1
Araripe,Distrito de Teixeira,13,1
Araripe,Pajeú,15,1
Araripe,Zona Rural,14,1
Aratuba,Zona Rural,6,1
Aratuba,Zona Rural,23,1
Arneiroz,Vila Planalto,16,1
Assaré,Aratama,0,1
Assaré,Coruja,5,1
Aurora,Alto Da Cruz,0,1
Aurora,Arassá,2,1
Aurora,Araça,2,1
Aurora,Araça,8,1
Aurora,Araça,12,1
Aurora,Araça,13,1
Aurora,Araça,16,1
Aurora,Araça,21,1
Aurora,Araçá,0,1
Aurora,Araçá,2,3
Aurora,Araçá,5,2
Aurora,Araçá,6,1
Aurora,Araçá,7,1
Aurora,Araçá,10,1
Aurora,Araçá,12,2
Aurora,Araçá,14,1
Aurora,Araçá,16,1
Aurora,Araçá,17,2
