cidade,bairro,weekday,count
Fortaleza,CONJUNTO CEARÁ I,Segunda-feira,1
Fortaleza,CONJUNTO CEARÁ I,Sábado,1
Fortaleza,CONJUNTO CEARÁ II,Quinta-feira,4
Fortaleza,CONJUNTO CEARÁ II,Quarta-feira,3
Fortaleza,CONJUNTO CEARÁ II,Sexta-feira,2
Fortaleza,CONJUNTO CEARÁ II,Terça-feira,2
Fortaleza,CONJUNTO CEARÁ II,Domingo,1
Fortaleza,CONJUNTO CEARÁ II,Segunda-feira,1
Fortaleza,CONJUNTO ESPERANÇA,Sábado,4
Fortaleza,CONJUNTO ESPERANÇA,Segunda-feira,3
Fortaleza,CONJUNTO ESPERANÇA,Sexta-feira,2
Fortaleza,CONJUNTO ESPERANÇA,Domingo,1
Fortaleza,CONJUNTO ESPERANÇA,Quarta-feira,1
Fortaleza,CONJUNTO ESPERANÇA,Quinta-feira,1
Fortaleza,CONJUNTO ESPERANÇA,Terça-feira,1
Fortaleza,CONJUNTO PALMEIRAS,Sexta-feira,11
Fortaleza,CONJUNTO PALMEIRAS,Domingo,9
Fortaleza,CONJUNTO PALMEIRAS,Quinta-feira,9
Fortaleza,CONJUNTO PALMEIRAS,Segunda-feira,8
Fortaleza,CONJUNTO PALMEIRAS,Quarta-feira,6
Fortaleza,CONJUNTO PALMEIRAS,Sábado,6
Fortaleza,CONJUNTO PALMEIRAS,Terça-feira,5
Fortaleza,COUTO FERNANDES,Quarta-feira,2
Fortaleza,COUTO FERNANDES,Sexta-feira,2
Fortaleza,COUTO FERNANDES,Sábado,2
Fortaleza,CRISTO REDENTOR,Domingo,10
Fortaleza,CRISTO REDENTOR,Quarta-feira,10
Fortaleza,CRISTO REDENTOR,Sábado,10
Fortaleza,CRISTO REDENTOR,Terça-feira,9
Fortaleza,CRISTO REDENTOR,Segunda-feira,8
Fortaleza,CRISTO REDENTOR,Sexta-feira,8
Fortaleza,CRISTO REDENTOR,Quinta-feira,5
Fortaleza,CURIÓ,Sábado,7
Fortaleza,CURIÓ,Quarta-feira,5
Fortaleza,CURIÓ,Sexta-feira,5
Fortaleza,CURIÓ,Domingo,4
Fortaleza,CURIÓ,Quinta-feira,2
Fortaleza,CURIÓ,Segunda-feira,1
Fortaleza,DAMAS,Quinta-feira,1
Fortaleza,DAMAS,Segunda-feira,1
Fortaleza,DAMAS,Terça-feira,1
Fortaleza,DEMÓCRITO ROCHA,Domingo,3
Fortaleza,DEMÓCRITO ROCHA,Segunda-feira,2
Fortaleza,DEMÓCRITO ROCHA,Sexta-feira,2
Fortaleza,DIAS MACÊDO,Terça-feira,3
Fortaleza,DIAS MACÊDO,Domingo,2
Fortaleza,DIAS MACÊDO,Quarta-feira,2
Fortaleza,DIAS MACÊDO,Quinta-feira,2
Fortaleza,DIAS MACÊDO,Segunda-feira,1
Fortaleza,DIAS MACÊDO,Sexta-feira,1
Fortaleza,DIAS MACÊDO,Sábado,1
Fortaleza,DIONÍSIO TORRES,Quinta-feira,1
Fortaleza,DOM LUSTOSA,Domingo,4
Fortaleza,DOM LUSTOSA,Sábado,3
Fortaleza,DOM LUSTOSA,Quinta-feira,2
Fortaleza,DOM LUSTOSA,Sexta-feira,2
Fortaleza,DOM LUSTOSA,Quarta-feira,1
Fortaleza,DOM LUSTOSA,Terça-feira,1
Fortaleza,EDSON QUEIROZ,Sábado,9
Fortaleza,EDSON QUEIROZ,Domingo,8
Fortaleza,EDSON QUEIROZ,Segunda-feira,8
Fortaleza,EDSON QUEIROZ,Quarta-feira,6
Fortaleza,EDSON QUEIROZ,Quinta-feira,5
Fortaleza,EDSON QUEIROZ,Sexta-feira,4
Fortaleza,EDSON QUEIROZ,Terça-feira,3
Fortaleza,ELLERY,Quarta-feira,1
Fortaleza,ELLERY,Segunda-feira,1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Quarta-feira,2
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Segunda-feira,2
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Sexta-feira,2
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Domingo,1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Quinta-feira,1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Sábado,1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Terça-feira,1
Fortaleza,FARIAS BRITO,Sábado,3
Fortaleza,FARIAS BRITO,Sexta-feira,2
Fortaleza,FARIAS BRITO,Terça-feira,2
Fortaleza,FARIAS BRITO,Quarta-feira,1
Fortaleza,FARIAS BRITO,Quinta-feira,1
Fortaleza,FARIAS BRITO,Segunda-feira,1
Fortaleza,FLORESTA,Quarta-feira,7
Fortaleza,FLORESTA,Sexta-feira,5
Fortaleza,FLORESTA,Sábado,5
Fortaleza,FLORESTA,Domingo,4
Fortaleza,FLORESTA,Quinta-feira,3
Fortaleza,FLORESTA,Segunda-feira,2
Fortaleza,FLORESTA,Terça-feira,1
Fortaleza,FÁTIMA,Domingo,4
Fortaleza,FÁTIMA,Quinta-feira,3
Fortaleza,FÁTIMA,Quarta-feira,2
Fortaleza,FÁTIMA,Segunda-feira,2
Fortaleza,FÁTIMA,Sábado,1
Fortaleza,GENIBAÚ,Sábado,7
Fortaleza,GENIBAÚ,Domingo,5
Fortaleza,GENIBAÚ,Segunda-feira,5
Fortaleza,GENIBAÚ,Terça-feira,5
Fortaleza,GENIBAÚ,Sexta-feira,3
Fortaleza,GENIBAÚ,Quarta-feira,2
Fortaleza,GENIBAÚ,Quinta-feira,2
Fortaleza,GRANJA LISBOA,Sábado,27
Fortaleza,GRANJA LISBOA,Domingo,22
Fortaleza,GRANJA LISBOA,Quinta-feira,14
Fortaleza,GRANJA LISBOA,Segunda-feira,14
Fortaleza,GRANJA LISBOA,Terça-feira,13
Fortaleza,GRANJA LISBOA,Quarta-feira,9
Fortaleza,GRANJA LISBOA,Sexta-feira,9
Fortaleza,GRANJA PORTUGAL,Domingo,12
Fortaleza,GRANJA PORTUGAL,Sábado,10
Fortaleza,GRANJA PORTUGAL,Sexta-feira,9
Fortaleza,GRANJA PORTUGAL,Terça-feira,8
Fortaleza,GRANJA PORTUGAL,Quinta-feira,7
Fortaleza,GRANJA PORTUGAL,Quarta-feira,5
Fortaleza,GRANJA PORTUGAL,Segunda-feira,5
Fortaleza,GUAJERU,Domingo,6
Fortaleza,GUAJERU,Sábado,5
Fortaleza,GUAJERU,Quinta-feira,2
Fortaleza,GUAJERU,Segunda-feira,2
Fortaleza,GUAJERU,Terça-feira,2
Fortaleza,GUAJERU,Quarta-feira,1
Fortaleza,HENRIQUE JORGE,Domingo,5
Fortaleza,HENRIQUE JORGE,Quinta-feira,5
Fortaleza,HENRIQUE JORGE,Sexta-feira,4
Fortaleza,HENRIQUE JORGE,Quarta-feira,2
Fortaleza,HENRIQUE JORGE,Terça-feira,2
Fortaleza,HENRIQUE JORGE,Sábado,1
Fortaleza,ITAOCA,Quinta-feira,3
Fortaleza,ITAOCA,Terça-feira,2
Fortaleza,ITAOCA,Domingo,1
Fortaleza,ITAOCA,Quarta-feira,1
Fortaleza,ITAOCA,Sexta-feira,1
Fortaleza,ITAPERI,Quarta-feira,3
Fortaleza,ITAPERI,Terça-feira,3
Fortaleza,ITAPERI,Sábado,2
Fortaleza,ITAPERI,Quinta-feira,1
Fortaleza,ITAPERI,Segunda-feira,1
Fortaleza,JACARECANGA,Segunda-feira,7
Fortaleza,JACARECANGA,Sábado,6
Fortaleza,JACARECANGA,Terça-feira,6
Fortaleza,JACARECANGA,Domingo,5
Fortaleza,JACARECANGA,Quarta-feira,2
Fortaleza,JACARECANGA,Quinta-feira,2
Fortaleza,JACARECANGA,Sexta-feira,1
Fortaleza,JANGURUSSU,Terça-feira,28
Fortaleza,JANGURUSSU,Domingo,26
Fortaleza,JANGURUSSU,Quinta-feira,26
Fortaleza,JANGURUSSU,Segunda-feira,22
Fortaleza,JANGURUSSU,Sábado,19
Fortaleza,JANGURUSSU,Quarta-feira,18
Fortaleza,JANGURUSSU,Sexta-feira,17
Fortaleza,JARDIM AMÉRICA,Domingo,3
Fortaleza,JARDIM AMÉRICA,Quinta-feira,2
Fortaleza,JARDIM AMÉRICA,Quarta-feira,1
Fortaleza,JARDIM AMÉRICA,Sábado,1
Fortaleza,JARDIM CEARENSE,Quarta-feira,2
