bairro,n_high_months,mean_homicide_reduction_next_vs_prev
TIMBÓ,6,0.16666666666666666
TIRADENTES,2,0.0
TOCA DO QUATI,2,0.0
TOCO,3,0.0
TORRÕES,1,0.0
TRIANGULO,1,0.0
TRIÂNGULO,10,0.0
TRIÂNGULO DE MARCO,1,-1.0
UNIVERSIDADE,1,0.0
VICENTE PINZON,11,0.09090909090909091
VILA ALTA,3,0.0
VILA CENTENÁRIO,6,0.0
VILA COQUEIRO,1,0.0
VILA DA PAZ,1,0.0
VILA ESPERANÇA,1,0.0
VILA LOBO,2,0.0
VILA MACENA,1,0.0
VILA MANOEL SÁTIRO,1,0.0
VILA MOURA,1,0.0
VILA NEUMA,8,0.0
VILA NOVA,15,0.0
VILA PERI,6,0.0
VILA PERY,5,0.0
VILA SÃO JOSÉ,5,0.0
VILA SÃO PEDRO,2,0.0
VILA UNIÃO,8,0.0
VILA VELHA,9,-0.1111111111111111
VILA XEXÉU,4,0.0
VIOLETE,1,0.0
VÁRZEA ALEGRE,7,0.0
VÁRZEA DA MATRIZ,6,0.0
ZONA RURAL,15,-0.4
ZONA URBANA,11,0.09090909090909091
ÁLVARO WEYNE,3,0.0
